Imagemteste,Imagemoriginal,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,rating_2.response,rating_2.rt,key_resp_3.keys,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,date,frameRate,expName,session,participant,
,,,,,,,,,,space,1.31967078149,,,,,,,,,,,,,,,,,,,,,,,,,2017_mar_16_1427,59.9131939127,aqv,001,,
,,,,,,,,,,,,0.176388888889,-0.377777777778,0,0,0,,,,,,,,,,,,,,,,,,,,2017_mar_16_1427,59.9131939127,aqv,001,,
Test_9_70_jpg_soft.png,Orig_9_soft.png,0,0,0,2,,,,,,,,,,,,0.0791666666667,-0.913333333333,1,0,0,Diagnóstico diferente,1.555,,,,,,,,,,,,,2017_mar_16_1427,59.9131939127,aqv,001,,
Test_3_50_jpg_bone.png,Orig_3_bone.png,0,1,1,1,,,,,,,,,,,,0.116666666667,-0.9,1,0,0,Diagnóstico diferente,0.969,,,,,,,,,,,,,2017_mar_16_1427,59.9131939127,aqv,001,,
Test_0_10_jp2_bone.png,Orig_0_bone.png,0,2,2,0,,,,,,,,,,,,0.00694444444444,-0.951111111111,1,0,0,Mesmo diagnóstico,2.837,,,,,,,,,,,,,2017_mar_16_1427,59.9131939127,aqv,001,,
,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,2017_mar_16_1427,59.9131939127,aqv,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.0722222222222,-0.657777777778,1,0,0,,,,,,,2017_mar_16_1427,59.9131939127,aqv,001,,
Test_6_70_jpg_bone.png,Orig_6_bone.png,,,,,0,0,0,55,,,,,,,,,,,,,,,,,,,,,"[0.26111111111111113, 0.26111111111111113, 0.26111111111111113, 0.26111111111111113, 0.26111111111111113, 0.26111111111111113, 0.26111111111111113, 0.10277777777777777, 0.10277777777777777]","[-0.76444444444444448, -0.76444444444444448, -0.76444444444444448, -0.76444444444444448, -0.76444444444444448, -0.76444444444444448, -0.76444444444444448, -0.93333333333333335, -0.93333333333333335]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.9313949841016438, 0.9476930547098164, 0.9643519892997574, 0.9810145295050461, 0.9977903467661235, 1.0144588963594288, 1.0312190892000217, 1.3655116215813905, 1.3819049410521984]",2017_mar_16_1427,59.9131939127,aqv,001,,
Orig_8_soft.png,Orig_8_soft.png,,,,,0,1,1,178,,,,,,,,,,,,,,,,,,,,,"[-0.26944444444444443, -0.26944444444444443, -0.26944444444444443, -0.26944444444444443, -0.26944444444444443, -0.26944444444444443, -0.26944444444444443, -0.26944444444444443, -0.26944444444444443, -0.088888888888888892, -0.087499999999999994]","[-0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.92222222222222228, -0.9244444444444444]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.6336780120036565, 0.6496969463769346, 0.6663862284040079, 0.6830628906900529, 0.6998002478212584, 0.7165123655286152, 0.733156276633963, 0.7498981408134568, 0.7666006434883457, 1.1344808666908648, 1.150803876313148]",2017_mar_16_1427,59.9131939127,aqv,001,,
Test_8_70_jpg_bone.png,Orig_8_bone.png,,,,,0,2,2,71,,,,,,,,,,,,,,,,,,,,,"[0.2361111111111111, 0.2361111111111111, 0.2361111111111111, 0.2361111111111111, 0.2361111111111111, 0.2361111111111111, 0.2361111111111111, 0.070833333333333331, 0.070833333333333331]","[-0.7533333333333333, -0.7533333333333333, -0.7533333333333333, -0.7533333333333333, -0.7533333333333333, -0.7533333333333333, -0.7533333333333333, -0.9244444444444444, -0.9244444444444444]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.6168895750306547, 0.6331167348544113, 0.649855594325345, 0.6665830359852407, 0.683228148962371, 0.6999048112484161, 0.716601605003234, 1.1176608804380521, 1.1341097867989447]",2017_mar_16_1427,59.9131939127,aqv,001,,
Orig_3_bone.png,Orig_3_bone.png,,,,,0,3,3,163,,,,,,,,,,,,,,,,,,,,,"[0.23749999999999999, 0.23749999999999999, 0.23749999999999999, 0.23749999999999999, 0.23749999999999999, 0.23749999999999999, 0.23749999999999999, 0.2388888888888889, 0.28472222222222221, 0.28472222222222221, 0.28472222222222221, 0.28472222222222221, 0.28472222222222221, 0.28472222222222221, 0.28472222222222221, 0.28472222222222221, 0.11944444444444445, 0.11944444444444445]","[-0.78666666666666663, -0.78666666666666663, -0.78666666666666663, -0.78666666666666663, -0.78666666666666663, -0.78666666666666663, -0.78666666666666663, -0.78666666666666663, -0.73777777777777775, -0.73777777777777775, -0.73777777777777775, -0.73777777777777775, -0.73777777777777775, -0.73777777777777775, -0.73777777777777775, -0.73777777777777775, -0.89777777777777779, -0.89777777777777779]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5504037710197736, 0.566803099878598, 0.5834965884569101, 0.6002057014557067, 0.6169018942746334, 0.6336022936739028, 0.6503258291922975, 0.6670421534799971, 1.3186047154595144, 1.3349232180044055, 1.3516230164386798, 1.3683125989336986, 1.3850337307085283, 1.4017161019146442, 1.4184219097660389, 1.4351613701728638, 1.786080386431422, 1.8024806166940834]",2017_mar_16_1427,59.9131939127,aqv,001,,
Test_7_20_jp2_soft.png,Orig_7_soft.png,,,,,0,4,4,137,,,,,,,,,,,,,,,,,,,,,"[0.28749999999999998, 0.28749999999999998, 0.28749999999999998, 0.28749999999999998, 0.28749999999999998, 0.28749999999999998, 0.28749999999999998, 0.28749999999999998, 0.28749999999999998, -0.0055555555555555558, -0.0055555555555555558]","[-0.73999999999999999, -0.73999999999999999, -0.73999999999999999, -0.73999999999999999, -0.73999999999999999, -0.73999999999999999, -0.73999999999999999, -0.73999999999999999, -0.73999999999999999, -0.94222222222222218, -0.94222222222222218]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0014855215558782, 1.0176787282980513, 1.0343842356815003, 1.0510705130000133, 1.0678673631045967, 1.084489940869389, 1.1012324059847742, 1.1178985518345144, 1.1346127728465945, 9.066545296984259, 9.082770353503292]",2017_mar_16_1427,59.9131939127,aqv,001,,
Test_6_20_jp2_bone.png,Orig_6_bone.png,,,,,0,5,5,49,,,,,,,,,,,,,,,,,,,,,"[0.27083333333333331, 0.27083333333333331, 0.27083333333333331, 0.27083333333333331, 0.27083333333333331, 0.27083333333333331, 0.27083333333333331, 0.27083333333333331, 0.093055555555555558, 0.09166666666666666]","[-0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.93333333333333335, -0.93555555555555558]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[39.30654026111006, 39.322925768385176, 39.33953752924572, 39.35629892395809, 39.37303387731663, 39.38967358187074, 39.406376985949464, 39.423009779682616, 39.9753455700411, 39.99089907706366]",2017_mar_16_1427,59.9131939127,aqv,001,,
Test_5_10_jp2_soft.png,Orig_5_soft.png,,,,,0,6,6,120,,,,,,,,,,,,,,,,,,,,,"[0.29722222222222222, 0.29722222222222222, 0.29722222222222222, 0.29722222222222222, 0.29722222222222222, -0.0069444444444444441, -0.0069444444444444441]","[-0.69555555555555559, -0.69555555555555559, -0.69555555555555559, -0.69555555555555559, -0.69555555555555559, -0.97333333333333338, -0.97333333333333338]","[1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[2.0529824008990545, 2.069498912896961, 2.0861752747150604, 2.102901214006124, 2.119515378610231, 2.6543238773592748, 2.6705879949149676]",2017_mar_16_1427,59.9131939127,aqv,001,,
Test_9_50_jp2_soft.png,Orig_9_soft.png,,,,,0,7,7,155,,,,,,,,,,,,,,,,,,,,,"[0.30972222222222223, 0.30972222222222223, 0.30972222222222223, 0.30972222222222223, 0.30972222222222223, 0.30972222222222223, 0.30972222222222223, 0.30972222222222223, 0.30972222222222223, -0.3347222222222222, -0.3347222222222222, -0.3347222222222222, -0.3347222222222222, -0.3347222222222222, -0.3347222222222222, -0.33194444444444443, -0.073611111111111113, -0.073611111111111113]","[-0.67777777777777781, -0.67777777777777781, -0.67777777777777781, -0.67777777777777781, -0.67777777777777781, -0.67777777777777781, -0.67777777777777781, -0.67777777777777781, -0.67777777777777781, -0.7533333333333333, -0.7533333333333333, -0.7533333333333333, -0.7533333333333333, -0.7533333333333333, -0.7533333333333333, -0.7533333333333333, -0.91111111111111109, -0.91111111111111109]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9.333733058039797, 9.350090922089294, 9.366759772179648, 9.383468284242554, 9.400143143720925, 9.416791261377512, 9.433550552814268, 9.450308942818083, 9.467021360993385, 11.304037349589635, 11.320477842789842, 11.337271087249974, 11.353902078175452, 11.370541782700457, 11.387263515440281, 11.403962712938664, 11.905279671074823, 11.921529967046808]",2017_mar_16_1427,59.9131939127,aqv,001,,
Test_6_70_jpg_soft.png,Orig_6_soft.png,,,,,0,8,8,135,,,,,,,,,,,,,,,,,,,,,"[-0.24027777777777778, -0.24027777777777778, -0.24027777777777778, -0.24027777777777778, -0.24027777777777778, -0.24027777777777778, -0.10277777777777777, -0.10277777777777777]","[-0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.93777777777777782, -0.93777777777777782]","[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[1.5523730486165732, 1.5687017671298236, 1.5853582979761995, 1.6021214954962488, 1.6187990591861308, 1.6355337121058255, 2.086614861706039, 2.1031497023650445]",2017_mar_16_1427,59.9131939127,aqv,001,,
Test_9_10_jp2_bone.png,Orig_9_bone.png,,,,,0,9,9,72,,,,,,,,,,,,,,,,,,,,,"[0.30416666666666664, 0.30416666666666664, 0.30416666666666664, 0.30416666666666664, 0.30416666666666664, 0.30416666666666664, 0.058333333333333334, 0.058333333333333334, 0.058333333333333334, 0.058333333333333334, 0.058333333333333334, 0.058333333333333334, 0.09583333333333334, 0.09583333333333334]","[-0.70666666666666667, -0.70666666666666667, -0.70666666666666667, -0.70666666666666667, -0.70666666666666667, -0.70666666666666667, -0.99111111111111116, -0.99111111111111116, -0.99111111111111116, -0.99111111111111116, -0.99111111111111116, -0.99111111111111116, -0.88666666666666671, -0.88666666666666671]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9.18327021470759, 9.199636792385718, 9.216376252821647, 9.233059224963654, 9.249673089099815, 9.266448305425001, 9.751059155270923, 9.767386972380336, 9.784042902261717, 9.800781761732651, 9.817432884126902, 9.834160926693585, 10.36893006390892, 10.385223927965853]",2017_mar_16_1427,59.9131939127,aqv,001,,
Test_1_50_jp2_bone.png,Orig_1_bone.png,,,,,0,10,10,11,,,,,,,,,,,,,,,,,,,,,"[-0.28333333333333333, -0.28333333333333333, -0.28333333333333333, -0.28333333333333333, -0.28333333333333333, -0.28333333333333333, -0.28333333333333333, -0.0027777777777777779, -0.0027777777777777779]","[-0.75111111111111106, -0.75111111111111106, -0.75111111111111106, -0.75111111111111106, -0.75111111111111106, -0.75111111111111106, -0.75111111111111106, -0.94666666666666666, -0.94666666666666666]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.7192535494395997, 1.735638455778826, 1.752342460793443, 1.7690025972551666, 1.7856585271656513, 1.8023706448439043, 1.8191308376844972, 3.004939419333823, 3.0213402505614795]",2017_mar_16_1427,59.9131939127,aqv,001,,
Test_0_20_jp2_bone.png,Orig_0_bone.png,,,,,0,11,11,1,,,,,,,,,,,,,,,,,,,,,"[-0.28194444444444444, -0.28194444444444444, -0.28194444444444444, -0.28194444444444444, -0.28194444444444444, -0.28194444444444444, 0.3347222222222222, 0.3347222222222222, 0.3347222222222222, 0.3347222222222222, 0.3347222222222222, 0.3347222222222222, 0.3347222222222222, 0.3347222222222222, 0.051388888888888887, 0.051388888888888887]","[-0.78666666666666663, -0.78666666666666663, -0.78666666666666663, -0.78666666666666663, -0.78666666666666663, -0.78666666666666663, -0.69777777777777783, -0.69777777777777783, -0.69777777777777783, -0.69777777777777783, -0.69777777777777783, -0.69777777777777783, -0.69777777777777783, -0.69777777777777783, -0.90888888888888886, -0.90888888888888886]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0012781975674443, 1.0176745217468124, 1.0344392216356937, 1.0511306069092825, 1.0678216917440295, 1.0845398188394029, 9.517370446556015, 9.53369646082865, 9.550446137232939, 9.567137823003577, 9.583830710645998, 9.600518189836293, 9.617213481251383, 9.63389645339339, 13.608480934024556, 13.624680150154745]",2017_mar_16_1427,59.9131939127,aqv,001,,
Orig_2_soft.png,Orig_2_soft.png,,,,,0,12,12,172,,,,,,,,,,,,,,,,,,,,,"[-0.27361111111111114, -0.27361111111111114, -0.27361111111111114, -0.27361111111111114, -0.27361111111111114, -0.27361111111111114, -0.27361111111111114, -0.065277777777777782, -0.065277777777777782]","[-0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.76666666666666672, -0.93333333333333335, -0.93333333333333335]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.7523637941339985, 1.7691690573992673, 1.7858346023131162, 1.802441555657424, 1.8192095606937073, 1.8358162135700695, 1.8525538711983245, 9.918554717296502, 9.93445586762391]",2017_mar_16_1427,59.9131939127,aqv,001,,
Test_5_20_jp2_bone.png,Orig_5_bone.png,,,,,0,13,13,41,,,,,,,,,,,,,,,,,,,,,"[-0.22361111111111112, -0.22361111111111112, -0.22222222222222221, -0.22222222222222221, -0.22222222222222221, -0.22222222222222221, -0.22222222222222221, -0.043055555555555555, -0.043055555555555555]","[-0.75555555555555554, -0.75555555555555554, -0.75777777777777777, -0.75777777777777777, -0.75777777777777777, -0.75777777777777777, -0.75777777777777777, -0.95111111111111113, -0.95111111111111113]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.7858640483464114, 1.802494438335998, 1.8192411100317258, 1.8358754061046056, 1.852559880586341, 1.8692978386825416, 1.886056228686357, 2.4707057189079933, 2.487099939811742]",2017_mar_16_1427,59.9131939127,aqv,001,,
Test_9_50_jp2_bone.png,Orig_9_bone.png,,,,,0,14,14,75,,,,,,,,,,,,,,,,,,,,,"[-0.31388888888888888, -0.31388888888888888, -0.31388888888888888, -0.31388888888888888, -0.31388888888888888, -0.12916666666666668, -0.12916666666666668]","[-0.72666666666666668, -0.72666666666666668, -0.72666666666666668, -0.72666666666666668, -0.72666666666666668, -0.90222222222222226, -0.9044444444444445]","[1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[5.894100700592389, 5.910225400264608, 5.926882832514821, 5.943580828141421, 5.960329903580714, 6.445279382634908, 6.461333772429498]",2017_mar_16_1427,59.9131939127,aqv,001,,
Test_9_70_jpg_bone.png,Orig_9_bone.png,,,,,0,15,15,79,,,,,,,,,,,,,,,,,,,,,"[-0.32777777777777778, -0.32777777777777778, -0.3263888888888889, -0.3263888888888889, -0.3263888888888889, -0.3263888888888889, -0.29444444444444445, -0.29444444444444445, -0.29444444444444445, -0.29444444444444445, -0.29444444444444445, -0.29444444444444445, -0.069444444444444448, -0.069444444444444448]","[-0.78666666666666663, -0.78666666666666663, -0.78666666666666663, -0.78666666666666663, -0.78666666666666663, -0.78666666666666663, -0.7155555555555555, -0.7155555555555555, -0.7155555555555555, -0.7155555555555555, -0.7155555555555555, -0.7155555555555555, -0.91555555555555557, -0.91555555555555557]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3.7062918929732405, 3.7226906208961736, 3.7393690860189963, 3.7560265182401054, 3.7727816030965187, 3.7894615705590695, 4.407654883048963, 4.4241028880060185, 4.440820414136397, 4.457434879237553, 4.474163823237177, 4.490836579410825, 5.042233101907186, 5.058646552846767]",2017_mar_16_1427,59.9131939127,aqv,001,,
Test_9_20_jpg_soft.png,Orig_9_soft.png,,,,,0,16,16,156,,,,,,,,,,,,,,,,,,,,,"[0.26666666666666666, 0.26666666666666666, 0.26666666666666666, 0.26666666666666666, 0.26666666666666666, 0.26666666666666666, 0.26666666666666666, 0.26666666666666666, 0.26666666666666666, 0.070833333333333331, 0.070833333333333331]","[-0.73111111111111116, -0.73111111111111116, -0.73111111111111116, -0.73111111111111116, -0.73111111111111116, -0.73111111111111116, -0.73111111111111116, -0.73111111111111116, -0.73111111111111116, -0.97999999999999998, -0.97999999999999998]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3.3890918727847748, 3.4053944504412357, 3.4221035634400323, 3.4387793243222404, 3.45548453120864, 3.472226996353129, 3.4889087666233536, 3.5056320017029066, 3.522364551317878, 5.008817580121104, 5.025108439469477]",2017_mar_16_1427,59.9131939127,aqv,001,,
Test_5_30_jpg_bone.png,Orig_5_bone.png,,,,,0,17,17,45,,,,,,,,,,,,,,,,,,,,,"[0.26944444444444443, 0.26944444444444443, 0.26944444444444443, 0.26944444444444443, 0.26944444444444443, 0.26944444444444443, 0.26944444444444443, 0.26944444444444443, 0.26944444444444443, 0.26944444444444443, 0.26944444444444443, 0.26944444444444443, 0.26944444444444443, 0.26944444444444443, -0.079166666666666663, -0.079166666666666663]","[-0.74222222222222223, -0.74222222222222223, -0.74222222222222223, -0.74222222222222223, -0.74222222222222223, -0.74222222222222223, -0.74222222222222223, -0.74222222222222223, -0.74222222222222223, -0.74222222222222223, -0.74222222222222223, -0.74222222222222223, -0.74222222222222223, -0.74222222222222223, -0.92888888888888888, -0.92888888888888888]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3.6398661828716286, 3.656005305092549, 3.6726960894593503, 3.6894015968427993, 3.706122728617629, 3.7227765552233905, 3.7395271330315154, 3.7562533727905247, 3.7728474059258588, 3.7896136081544682, 3.80629928453709, 3.822988867003005, 3.839679050433915, 3.856407093029702, 4.958806522859959, 4.975073645095108]",2017_mar_16_1427,59.9131939127,aqv,001,,
